"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 13 15:17:24 GMT 2025","Sun Jul 13 15:17:25 GMT 2025","1413","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sun Jul 13 15:17:16 GMT 2025","Sun Jul 13 15:17:18 GMT 2025","1852","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jul 13 15:17:19 GMT 2025","Sun Jul 13 15:17:20 GMT 2025","1663","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sun Jul 13 15:17:25 GMT 2025","Sun Jul 13 15:17:29 GMT 2025","4099","LMS system","Courses","Courses","","","Create course",""
"passed","Sun Jul 13 15:17:26 GMT 2025","Sun Jul 13 15:17:30 GMT 2025","4022","LMS system","Courses","Courses","","","Edit course",""
"passed","Sun Jul 13 15:17:22 GMT 2025","Sun Jul 13 15:17:23 GMT 2025","1618","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sun Jul 13 15:17:16 GMT 2025","Sun Jul 13 15:17:20 GMT 2025","3247","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sun Jul 13 15:17:21 GMT 2025","Sun Jul 13 15:17:22 GMT 2025","1269","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sun Jul 13 15:17:30 GMT 2025","Sun Jul 13 15:17:31 GMT 2025","1560","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sun Jul 13 15:17:20 GMT 2025","Sun Jul 13 15:17:22 GMT 2025","1515","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
