"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1622","User login with wrong email or password","LMS system","Wed Feb 04 07:38:56 UTC 2026","passed","Wed Feb 04 07:38:57 UTC 2026","Authorization","Authentication","",""
"","1939","Registration with correct email, username and password","LMS system","Wed Feb 04 07:38:58 UTC 2026","passed","Wed Feb 04 07:38:59 UTC 2026","Registration","Authentication","",""
"","1640","Check displaying of empty courses list","LMS system","Wed Feb 04 07:39:00 UTC 2026","passed","Wed Feb 04 07:39:01 UTC 2026","Courses","Courses","",""
"","1447","Navigation from login page to registration page","LMS system","Wed Feb 04 07:38:56 UTC 2026","passed","Wed Feb 04 07:38:58 UTC 2026","Authorization","Authentication","",""
"","3423","User login with correct email and password","LMS system","Wed Feb 04 07:38:52 UTC 2026","passed","Wed Feb 04 07:38:55 UTC 2026","Authorization","Authentication","",""
"","1900","User login with wrong email or password","LMS system","Wed Feb 04 07:38:52 UTC 2026","passed","Wed Feb 04 07:38:53 UTC 2026","Authorization","Authentication","",""
"","3206","Create course","LMS system","Wed Feb 04 07:39:01 UTC 2026","passed","Wed Feb 04 07:39:05 UTC 2026","Courses","Courses","",""
"","1714","Check displaying of dashboard page","LMS system","Wed Feb 04 07:39:05 UTC 2026","passed","Wed Feb 04 07:39:07 UTC 2026","Dashboard","Dashboard","",""
"","1843","User login with wrong email or password","LMS system","Wed Feb 04 07:38:54 UTC 2026","passed","Wed Feb 04 07:38:56 UTC 2026","Authorization","Authentication","",""
"","3743","Edit course","LMS system","Wed Feb 04 07:39:02 UTC 2026","passed","Wed Feb 04 07:39:05 UTC 2026","Courses","Courses","",""
